obj_Bionic_beams_Mass,obj_Directional_Deformation_Reported_Frequency
4.382973813,-1073.683302
4.465045264,-1075.583472
4.466843297,-1082.067836
4.568998852,-1102.538389
4.591514971,-1109.068537
4.616626051,-1116.359117
4.778435895,-1116.695497
4.794815378,-1130.35845
4.880982192,-1138.471907
4.980476684,-1143.671728
